stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_lat,stop_lon
4587104,,Franz-Hitze-Haus,,,,,4587101P,,,51.955896,7.603033
4588101,,Schreiberstraße,,,,,4588101P,,,51.965078,7.595225
4588102,,Schreiberstraße,,,,,4588101P,,,51.96491,7.596147
4589101,,Potstiege,,,,,4589101P,,,51.965732,7.582968
4589102,,Potstiege,,,,,4589101P,,,51.965665,7.582679
4590101,,Twenteweg,,,,,4590101P,,,51.974059,7.571426
4590102,,Twenteweg,,,,,4590101P,,,51.973311,7.572789
4591101,,Gescherweg B,,,,,4591101P,,,51.972642,7.5754
4591102,,Gescherweg A,,,,,4591101P,,,51.971371,7.576619
4591104,,Gescherweg C,,,,,4591101P,,,51.97274,7.576067
4591501,,Am Breilbusch,,,,,4591501P,,,51.975576,7.574274
4591502,,Am Breilbusch,,,,,4591501P,,,51.975605,7.574419
4592101,,Provinzial,,,,,4592101P,,,51.99329,7.620142
4592102,,Provinzial,,,,,4592101P,,,51.993099,7.620003
4593101,,Holtmannsweg,,,,,4593101P,,,51.99529,7.634437
4593102,,Holtmannsweg,,,,,4593101P,,,51.995158,7.634645
4594101,,Heidkamp,,,,,4594101P,,,51.993956,7.606508
4594102,,Heidkamp,,,,,4594101P,,,51.993934,7.604631
4595101,,Kristiansandstr.,,,,,4595101P,,,51.997818,7.612329
4595102,,Kristiansandstr.,,,,,4595101P,,,51.997979,7.612281
4596101,,Idenbrockplatz,,,,,4596101P,,,51.996331,7.600567
4596102,,Idenbrockplatz,,,,,4596101P,,,51.996361,7.600071
4597101,,Killingstraße,,,,,4597101P,,,52.000852,7.592286
4597102,,Killingstraße,,,,,4597101P,,,52.000725,7.592217
4598101,,Corrensstraße,,,,,4598101P,,,51.971025,7.597164
4598102,,Corrensstraße,,,,,4598101P,,,51.970949,7.596802
4599101,,Mendelstraße,,,,,4599101P,,,51.969078,7.596715
4599102,,Mendelstraße,,,,,4599101P,,,51.969406,7.596297
4600101,,Rüschhausweg B,,,,,4600101P,,,51.973955,7.565113
4600102,,Rüschhausweg A,,,,,4600101P,,,51.973969,7.564807
4600103,,Rüschhausweg C,,,,,4600101P,,,51.973915,7.565464
4600104,,Rüschhausweg D,,,,,4600101P,,,51.972619,7.565345
4601101,,Salzmannstraße,,,,,4601101P,,,51.993253,7.615455
4601102,,Salzmannstraße,,,,,4601101P,,,51.993126,7.616158
4602101,,Toppheide,,,,,4602101P,,,51.975398,7.569899
4602102,,Toppheide,,,,,4602101P,,,51.97508,7.570375
4603101,,Gronowskistr.,,,,,4603101P,,,51.967768,7.562604
4603102,,Gronowskistr.,,,,,4603101P,,,51.967791,7.563054
4607101,,Provinzial Süd,,,,,4607101P,,,51.989334,7.620817
4607102,,Provinzial Süd,,,,,4607101P,,,51.989584,7.620634
4610101,,Schonebeck,,,,,4610101P,,,51.987791,7.542631
4610102,,Schonebeck,,,,,4610101P,,,51.987717,7.542502
4614101,,Ackermann,,,,,4614101P,,,51.952784,7.552261
4614102,,Ackermann,,,,,4614101P,,,51.95268,7.551842
4615102,,Heekweg,,,,,4615101P,,,51.973565,7.563321
4616101,,Südlohnweg,,,,,4616101P,,,51.976106,7.561683
4616102,,Südlohnweg,,,,,4616101P,,,51.976374,7.560757
4617101,,Wasserweg,,,,,4617101P,,,51.974787,7.592302
4617102,,Wasserweg,,,,,4617101P,,,51.975321,7.592664
4618101,,Austermannstr.,,,,,4618101P,,,51.976399,7.594813
4618102,,Austermannstr.,,,,,4618101P,,,51.977171,7.595546
4619001,,Johann-Krane-Weg,,,,,4619001P,,,51.975417,7.597653
4623101,,Overeskenhoek,,,,,4623101P,,,52.016575,7.669916
4623102,,Overeskenhoek,,,,,4623101P,,,52.016279,7.669983
4624101,,Ölhafen,,,,,4624101P,,,52.019393,7.667968
4624102,,Ölhafen,,,,,4624101P,,,52.019178,7.667988
4625101,,Hessenweg,,,,,4625101P,,,52.012819,7.672387
4625102,,Hessenweg,,,,,4625101P,,,52.012127,7.672436
4625301,,Hessenbusch,,,,,4625301P,,,52.008805,7.673554
4625302,,Hessenbusch,,,,,4625301P,,,52.008759,7.673424
4626102,,Alfersheide,,,,,4626102P,,,52.02745,7.673119
4626301,,Schornheide,,,,,4626301P,,,52.026361,7.673778
4626501,,Westerheide,,,,,4626501P,,,52.027791,7.676198
4627101,,Zur Eckernheide,,,,,4627101P,,,52.024394,7.670718
4627102,,Zur Eckernheide,,,,,4627101P,,,52.024548,7.670758
4628102,,Gelmerheide,,,,,4628102P,,,52.029494,7.673452
4630102,,Gelmer,,,,,4630102P,,,52.030229,7.676476
4631101,,Rudolf-Diesel-Straße,,,,,4631101P,,,51.990702,7.664698
4631102,,Rudolf-Diesel-Straße,,,,,4631101P,,,51.989984,7.664006
4631901,,Gewerbegebiet Kleimannbrücke B,,,,,4631901P,,,51.994725,7.662759
4631902,,Gewerbegebiet Kleimannbrücke A,,,,,4631901P,,,51.994494,7.662999
4631903,,Gewerbegebiet Kleimannbrücke C,,,,,4631901P,,,51.994238,7.661813
4632101,,An der Alten Ziegelei,,,,,4632101P,,,51.997284,7.664095
4632102,,An der Alten Ziegelei,,,,,4632101P,,,51.99738,7.663845
4633101,,Hohe Geist,,,,,4633101P,,,51.923038,7.526571
4633102,,Hohe Geist,,,,,4633101P,,,51.92305,7.526789
4633501,,Wierling,,,,,4633502P,,,51.923603,7.522206
4633502,,Wierling,,,,,4633502P,,,51.92382,7.522272
4634101,,Am Kämpken,,,,,4634102P,,,51.920134,7.527219
4634102,,Am Kämpken,,,,,4634102P,,,51.92053,7.527264
4635001,,Albachten Bahnhof,,,,,4635001P,,,51.914645,7.527471
4635101,,Sendener Stiege,,,,,4635102P,,,51.917836,7.528151
4635102,,Sendener Stiege,,,,,4635102P,,,51.917614,7.528435
4635501,,Langenkamp,,,,,4635502P,,,51.91673,7.525266
4635502,,Langenkamp,,,,,4635502P,,,51.916387,7.52519
4638101,,Rieselfelder,,,,,4638101P,,,52.022282,7.666716
4638102,,Rieselfelder,,,,,4638101P,,,52.021738,7.666251
4654101,,Nottulner Landweg,,,,,4654102P,,,51.947801,7.538181
4654102,,Nottulner Landweg,,,,,4654102P,,,51.947676,7.538229
4657101,,Raiffeisenstr.,,,,,4657102P,,,51.946517,7.533933
4657102,,Raiffeisenstr.,,,,,4657102P,,,51.946186,7.533303
4659101,,Lise-Meitner-Str.,,,,,4659102P,,,51.944336,7.528404
4659102,,Lise-Meitner-Str.,,,,,4659102P,,,51.944674,7.529557
4660101,,Vagedesweg,,,,,4660102P,,,51.938105,7.594468
4660102,,Vagedesweg,,,,,4660102P,,,51.938259,7.593765
4661101,,Roxel Alte Dorfstr.,,,,,4661102P,,,51.954874,7.532336
4661102,,Roxel Alte Dorfstr.,,,,,4661102P,,,51.95511,7.532503
4662101,,Stellmacherweg,,,,,4662102P,,,51.948615,7.527741
4662102,,Stellmacherweg,,,,,4662102P,,,51.948403,7.527311
4662501,,Roxel Bahnhof,,,,,4662501P,,,51.946236,7.526524
4666002,,Roxel Hallenbad A,,,,,4666002P,,,51.954444,7.527419
4667101,,Pantaleonstraße,,,,,4667102P,,,51.95398,7.531274
4667102,,Pantaleonstraße,,,,,4667102P,,,51.9539,7.531335
4668101,,Pienersallee,,,,,4668102P,,,51.951092,7.530293
4668102,,Pienersallee,,,,,4668102P,,,51.951197,7.530085
4669101,,Handwerkskammer Bildungszentr.,,,,,4669102P,,,51.937501,7.587521
4669102,,Handwerkskammer Bildungszentr.,,,,,4669102P,,,51.937562,7.58813
4670101,,Ramertsweg,,,,,4670102P,,,51.955726,7.567237
4670102,,Ramertsweg,,,,,4670102P,,,51.955772,7.568065
4670501,,Dieckmannstr. B,,,,,4670501P,,,51.957447,7.571998
4670502,,Dieckmannstr. A,,,,,4670501P,,,51.957861,7.573556
4670503,,Dieckmannstr. C,,,,,4670501P,,,51.958001,7.571704
4670504,,Dieckmannstr. D,,,,,4670501P,,,51.957472,7.57335
